date,ticker,y_true,y_pred
2022-09-09,BBVA,4.852000,4.812183
2022-09-12,BBVA,4.956000,4.893894
2022-09-13,BBVA,4.887000,4.914671
2022-09-14,BBVA,4.878000,4.907105
2022-09-15,BBVA,4.987000,4.921170
2022-09-16,BBVA,4.927500,4.895955
2022-09-19,BBVA,4.913500,4.883002
2022-09-20,BBVA,4.911000,4.883715
2022-09-21,BBVA,4.931000,4.898417
2022-09-22,BBVA,4.900000,4.908702
2022-09-23,BBVA,4.758000,4.864221
2022-09-26,BBVA,4.741500,4.831577
2022-09-27,BBVA,4.642000,4.788447
2022-09-28,BBVA,4.643500,4.765578
2022-09-29,BBVA,4.552500,4.728769
2022-09-30,BBVA,4.620500,4.741938
2022-10-03,BBVA,4.682500,4.776253
2022-10-04,BBVA,4.902000,4.860485
2022-10-05,BBVA,4.820000,4.909640
2022-10-06,BBVA,4.799500,4.928015
2022-10-07,BBVA,4.620000,4.870267
2022-10-10,BBVA,4.620000,4.822384
2022-10-11,BBVA,4.577500,4.780691
2022-10-12,BBVA,4.583000,4.760584
2022-10-13,BBVA,4.721000,4.796495
2022-10-14,BBVA,4.746500,4.845286
2022-10-17,BBVA,4.858000,4.881037
2022-10-18,BBVA,4.943500,4.931459
2022-10-19,BBVA,4.965000,4.983307
2022-10-20,BBVA,5.047000,5.029943
2022-10-21,BBVA,4.999500,5.029573
2022-10-24,BBVA,5.189000,5.070463
2022-10-25,BBVA,5.230000,5.114666
2022-10-26,BBVA,5.221000,5.143815
2022-10-27,BBVA,5.258000,5.171158
2022-10-28,BBVA,5.246000,5.176331
2022-10-31,BBVA,5.209000,5.171535
2022-11-01,BBVA,5.255000,5.191178
2022-11-02,BBVA,5.286000,5.227939
2022-11-03,BBVA,5.227000,5.227162
2022-11-04,BBVA,5.304000,5.256701
2022-11-07,BBVA,5.337000,5.301754
2022-11-08,BBVA,5.320000,5.329807
2022-11-09,BBVA,5.287000,5.327744
2022-11-10,BBVA,5.306000,5.333733
2022-11-11,BBVA,5.297000,5.340473
2022-11-14,BBVA,5.369000,5.373644
2022-11-15,BBVA,5.411000,5.414955
2022-11-16,BBVA,5.362000,5.415194
2022-11-17,BBVA,5.332000,5.392201
